"Model","Accuracy","Precision","Recall","F1"
"Logistic_Regression",0.72782874617737,0.466666666666667,0.202312138728324,0.282258064516129
"Decision_Tree",0.974006116207951,0.964285714285714,0.936416184971098,0.950146627565982
"Random_Forest",0.987767584097859,1,0.953757225433526,0.976331360946746
"KNN",0.81039755351682,0.644970414201183,0.630057803468208,0.637426900584795
"AdaBoost",0.989296636085627,0.988235294117647,0.971098265895954,0.979591836734694
"XGBoost",0.990825688073395,0.994082840236686,0.971098265895954,0.982456140350877
